Id,Image,Time,X,Y,Z,Heading,Roll,Pitch,Camera,Quality,Line,Color,AccuracyXy
24,p000023.jpg,1728323957,85261.5939,446980.4034,1.4806,71.3893,-3.4677,-8.1374,0,1,0,C0;0;0;0;0;0,0.1
25,p000024.jpg,1728323958,85261.29099,446979.9064,1.5106,106.9025,-1.0589,3.0052,0,1,0,C0;0;0;0;0;0,0.1
26,p000025.jpg,1728323960,85260.84833,446979.3362,1.442,139.1135,1.8564,2.4833,0,1,0,C0;0;0;0;0;0,0.1
27,p000026.jpg,1728323961,85260.41772,446978.7548,1.4613,150.6684,-3.3125,0.7289,0,1,0,C0;0;0;0;0;0,0.1
28,p000027.jpg,1728323962,85259.99545,446978.2324,1.4398,123.2023,-4.067,-1.0999,0,1,0,C0;0;0;0;0;0,0.1
29,p000028.jpg,1728323963,85260.24203,446977.6543,1.4539,63.3751,-4.2964,-0.8832,0,1,0,C0;0;0;0;0;0,0.1
30,p000029.jpg,1728323964,85260.98987,446977.2595,1.4251,46.2865,-6.8499,1.8171,0,1,0,C0;0;0;0;0;0,0.1
31,p000030.jpg,1728323965,85261.78821,446976.6896,1.4688,46.0503,-6.163,0.1516,0,1,0,C0;0;0;0;0;0,0.1
32,p000031.jpg,1728323966,85261.99588,446976.2023,1.4616,111.9066,0.4703,-0.1977,0,1,0,C0;0;0;0;0;0,0.1
33,p000032.jpg,1728323967,85261.55688,446976.9083,1.4226,-141.0378,-1.8594,-4.9497,0,1,0,C0;0;0;0;0;0,0.1
34,p000033.jpg,1728323968,85260.8396,446977.5206,1.4553,-133.9851,-6.672,-1.4207,0,1,0,C0;0;0;0;0;0,0.1
35,p000034.jpg,1728323969,85259.99252,446977.7425,1.4607,-161.9824,-5.2552,0.2081,0,1,0,C0;0;0;0;0;0,0.1
36,p000035.jpg,1728323970,85259.17148,446977.3723,1.435,159.8871,-4.9333,-4.2537,0,1,0,C0;0;0;0;0;0,0.1
37,p000036.jpg,1728323971,85258.50665,446976.7927,1.4843,138.2837,-4.4254,0.4642,0,1,0,C0;0;0;0;0;0,0.1
38,p000037.jpg,1728323972,85257.97046,446976.0342,1.4814,124.1601,-4.0974,-2.8948,0,1,0,C0;0;0;0;0;0,0.1
39,p000038.jpg,1728323973,85257.71262,446975.1747,1.4775,109.6042,-5.4002,-0.2206,0,1,0,C0;0;0;0;0;0,0.1
40,p000039.jpg,1728323974,85257.79352,446974.2454,1.4774,90.6015,-3.1444,-2.5576,0,1,0,C0;0;0;0;0;0,0.1
41,p000040.jpg,1728323975,85257.9834,446973.2674,1.476,91.5205,-5.3616,1.4981,0,1,0,C0;0;0;0;0;0,0.1
42,p000041.jpg,1728323976,85257.51926,446972.36,1.4643,129.5926,-1.614,-0.2472,0,1,0,C0;0;0;0;0;0,0.1
43,p000042.jpg,1728323977,85256.66693,446971.8118,1.4681,158.3517,-7.2191,-4.3897,0,1,0,C0;0;0;0;0;0,0.1
44,p000043.jpg,1728323978,85255.70119,446971.7411,1.4905,-166.202,-3.1247,-0.6854,0,1,0,C0;0;0;0;0;0,0.1
45,p000044.jpg,1728323979,85254.9743,446972.1193,1.4449,-134.4166,-2.37,-5.1639,0,1,0,C0;0;0;0;0;0,0.1
46,p000045.jpg,1728323980,85254.23888,446972.7136,1.4729,-124.2804,-3.6209,-5.6395,0,1,0,C0;0;0;0;0;0,0.1
47,p000046.jpg,1728323981,85253.58737,446973.4278,1.4781,-126.2839,-1.7852,-5.7239,0,1,0,C0;0;0;0;0;0,0.1
48,p000047.jpg,1728323982,85253.004,446974.0792,1.4739,-128.2461,-4.8897,-5.6746,0,1,0,C0;0;0;0;0;0,0.1
49,p000048.jpg,1728323983,85252.32556,446974.7975,1.5125,-130.1957,-2.8833,-0.7083,0,1,0,C0;0;0;0;0;0,0.1
50,p000049.jpg,1728323984,85251.66634,446975.4124,1.4843,-120.7992,-1.8041,-4.8415,0,1,0,C0;0;0;0;0;0,0.1
51,p000050.jpg,1728323985,85251.87196,446975.6163,1.4782,-38.5418,-4.5231,-3.9522,0,1,0,C0;0;0;0;0;0,0.1
52,p000051.jpg,1728323986,85252.33702,446974.8408,1.4343,39.1089,-9.1186,-8.8697,0,1,0,C0;0;0;0;0;0,0.1
53,p000052.jpg,1728323987,85252.80838,446974.0442,1.4664,56.7887,-5.4883,-9.3071,0,1,0,C0;0;0;0;0;0,0.1
54,p000053.jpg,1728323988,85253.43649,446973.255,1.4682,52.918,-7.2947,-4.1489,0,1,0,C0;0;0;0;0;0,0.1
55,p000054.jpg,1728323989,85254.18712,446972.5845,1.4562,46.4633,-5.2446,-8.8045,0,1,0,C0;0;0;0;0;0,0.1
56,p000055.jpg,1728323990,85255.06984,446972.0405,1.4392,34.2634,-8.2589,-7.3962,0,1,0,C0;0;0;0;0;0,0.1
57,p000056.jpg,1728323991,85255.94363,446971.658,1.4288,18.761,-10.1337,-9.6451,0,1,0,C0;0;0;0;0;0,0.1
58,p000057.jpg,1728323992,85256.89966,446971.7029,1.4387,-0.2491,-7.5677,-8.4145,0,1,0,C0;0;0;0;0;0,0.1
59,p000058.jpg,1728323993,85257.30173,446971.222,1.4367,65.8426,-1.9711,-3.9664,0,1,0,C0;0;0;0;0;0,0.1
60,p000059.jpg,1728323994,85256.95609,446970.5567,1.4308,130.9279,-5.2706,-10.1162,0,1,0,C0;0;0;0;0;0,0.1
61,p000060.jpg,1728323995,85256.28693,446969.9401,1.4248,150.2221,-6.522,-6.3792,0,1,0,C0;0;0;0;0;0,0.1
62,p000061.jpg,1728323996,85255.31444,446969.446,1.4245,152.5487,-2.2231,-12.1527,0,1,0,C0;0;0;0;0;0,0.1
63,p000062.jpg,1728323997,85254.40849,446968.9205,1.399,153.1337,-7.4691,-14.1053,0,1,0,C0;0;0;0;0;0,0.1
64,p000063.jpg,1728323998,85253.57303,446968.3239,1.4435,150.6136,-1.7732,-3.9084,0,1,0,C0;0;0;0;0;0,0.1
65,p000064.jpg,1728323999,85252.83018,446967.6756,1.4785,143.8359,-0.5392,-0.3117,0,1,0,C0;0;0;0;0;0,0.1
66,p000065.jpg,1728324000,85252.05066,446966.967,1.4775,136.9605,-5.5373,-8.1084,0,1,0,C0;0;0;0;0;0,0.1
67,p000066.jpg,1728324001,85251.26137,446966.2259,1.4608,134.6995,-0.1523,-3.6812,0,1,0,C0;0;0;0;0;0,0.1
68,p000067.jpg,1728324002,85250.62016,446965.395,1.4829,126.2308,-1.9725,-2.2469,0,1,0,C0;0;0;0;0;0,0.1
69,p000068.jpg,1728324003,85249.93274,446964.5341,1.493,128.9957,-1.7284,-2.5446,0,1,0,C0;0;0;0;0;0,0.1
70,p000069.jpg,1728324004,85249.28792,446963.5918,1.4859,128.7305,-1.6326,-1.0994,0,1,0,C0;0;0;0;0;0,0.1
71,p000070.jpg,1728324005,85248.64119,446962.7279,1.4773,131.0669,-0.3528,-0.6037,0,1,0,C0;0;0;0;0;0,0.1
72,p000071.jpg,1728324006,85247.97998,446961.913,1.4904,135.1537,-2.8246,-2.0707,0,1,0,C0;0;0;0;0;0,0.1
73,p000072.jpg,1728324007,85247.19585,446961.1952,1.4867,134.7277,-1.9256,-1.4368,0,1,0,C0;0;0;0;0;0,0.1
74,p000073.jpg,1728324008,85246.47789,446960.5435,1.4612,145.4337,-2.7763,-1.4375,0,1,0,C0;0;0;0;0;0,0.1
75,p000074.jpg,1728324009,85245.81949,446960.6512,1.5001,-164.6016,-5.0287,-3.7603,0,1,0,C0;0;0;0;0;0,0.1
76,p000075.jpg,1728324010,85245.35176,446959.7737,1.4691,134.5622,-2.7669,-5.5062,0,1,0,C0;0;0;0;0;0,0.1
77,p000076.jpg,1728324011,85244.95578,446958.8164,1.4815,125.6558,0.8416,-6.4391,0,1,0,C0;0;0;0;0;0,0.1
78,p000077.jpg,1728324012,85244.44955,446957.7686,1.5154,132.1932,-0.7492,-2.9086,0,1,0,C0;0;0;0;0;0,0.1
79,p000078.jpg,1728324013,85243.75876,446956.8695,1.5036,134.0369,-3.214,-1.9074,0,1,0,C0;0;0;0;0;0,0.1
80,p000079.jpg,1728324014,85242.95796,446956.0284,1.5004,133.0237,-4.4311,-1.647,0,1,0,C0;0;0;0;0;0,0.1
81,p000080.jpg,1728324015,85242.119,446955.4392,1.5086,146.333,-5.1065,-2.2648,0,1,0,C0;0;0;0;0;0,0.1
82,p000081.jpg,1728324016,85241.14493,446955.4832,1.5101,-165.3595,-0.2859,-2.4722,0,1,0,C0;0;0;0;0;0,0.1
83,p000082.jpg,1728324017,85240.30304,446955.8021,1.4912,-140.611,-4.2285,-0.8006,0,1,0,C0;0;0;0;0;0,0.1
84,p000083.jpg,1728324018,85239.55035,446956.3619,1.4669,-133.5883,-1.7871,-5.4528,0,1,0,C0;0;0;0;0;0,0.1
85,p000084.jpg,1728324019,85239.33551,446957.0806,1.4871,-81.5613,-2.0324,-4.5976,0,1,0,C0;0;0;0;0;0,0.1
86,p000085.jpg,1728324020,85239.83485,446957.7887,1.4849,-48.3241,-2.7785,-5.0925,0,1,0,C0;0;0;0;0;0,0.1
87,p000086.jpg,1728324021,85240.45825,446958.5664,1.4913,-46.2635,-2.8384,-5.4172,0,1,0,C0;0;0;0;0;0,0.1
88,p000087.jpg,1728324022,85241.20894,446959.4647,1.4941,-46.4766,-3.8316,-6.5618,0,1,0,C0;0;0;0;0;0,0.1
89,p000088.jpg,1728324023,85241.98016,446960.4066,1.4785,-48.7092,0.7302,-6.293,0,1,0,C0;0;0;0;0;0,0.1
90,p000089.jpg,1728324024,85242.68484,446961.2899,1.4926,-47.9112,-1.6263,-2.7405,0,1,0,C0;0;0;0;0;0,0.1
91,p000090.jpg,1728324025,85243.48868,446962.1603,1.5112,-47.3681,-2.6515,-1.8695,0,1,0,C0;0;0;0;0;0,0.1
92,p000091.jpg,1728324026,85244.22446,446963.0234,1.5082,-47.4865,-2.1469,-3.8999,0,1,0,C0;0;0;0;0;0,0.1
93,p000092.jpg,1728324027,85244.91655,446963.8865,1.5157,-46.8285,-1.7712,-1.3309,0,1,0,C0;0;0;0;0;0,0.1
94,p000093.jpg,1728324028,85245.59129,446964.7255,1.4959,-50.2198,-1.7936,-1.138,0,1,0,C0;0;0;0;0;0,0.1
95,p000094.jpg,1728324029,85246.27969,446965.6486,1.5005,-52.3286,-4.5065,-4.1802,0,1,0,C0;0;0;0;0;0,0.1
96,p000095.jpg,1728324030,85246.95279,446966.5004,1.5307,-47.6608,-0.9057,-3.4919,0,1,0,C0;0;0;0;0;0,0.1
97,p000096.jpg,1728324031,85247.62325,446967.3224,1.5277,-49.6254,-1.6524,-0.2617,0,1,0,C0;0;0;0;0;0,0.1
98,p000097.jpg,1728324032,85248.44783,446967.6455,1.4913,-2.2733,0.8992,-0.8656,0,1,0,C0;0;0;0;0;0,0.1
99,p000098.jpg,1728324033,85249.11047,446967.1497,1.5076,44.0656,-0.3805,-3.1835,0,1,0,C0;0;0;0;0;0,0.1
100,p000099.jpg,1728324034,85249.78256,446966.4981,1.5027,44.8728,-1.9352,-4.7396,0,1,0,C0;0;0;0;0;0,0.1
101,p000100.jpg,1728324035,85250.35805,446965.8013,1.5058,62.6322,-0.8634,-0.8257,0,1,0,C0;0;0;0;0;0,0.1
102,p000101.jpg,1728324036,85250.13818,446964.9399,1.4747,112.7382,-2.6854,-3.7024,0,1,0,C0;0;0;0;0;0,0.1
103,p000102.jpg,1728324037,85249.60126,446964.1204,1.4868,128.1016,-4.5075,-4.4761,0,1,0,C0;0;0;0;0;0,0.1
104,p000103.jpg,1728324039,85248.90689,446963.2417,1.4853,132.955,-2.7456,-4.5844,0,1,0,C0;0;0;0;0;0,0.1
105,p000104.jpg,1728324040,85248.25218,446962.3924,1.4732,134.842,-3.0684,-3.6344,0,1,0,C0;0;0;0;0;0,0.1
106,p000105.jpg,1728324041,85247.47331,446961.5066,1.4815,136.8103,-1.0855,-5.8519,0,1,0,C0;0;0;0;0;0,0.1
107,p000106.jpg,1728324042,85246.76935,446960.6351,1.5092,133.8034,-1.3147,-4.6589,0,1,0,C0;0;0;0;0;0,0.1
108,p000107.jpg,1728324043,85246.0295,446959.7338,1.5052,131.787,-4.1843,-3.3325,0,1,0,C0;0;0;0;0;0,0.1
109,p000108.jpg,1728324044,85245.27367,446958.9115,1.4928,131.1987,-2.5214,-3.236,0,1,0,C0;0;0;0;0;0,0.1
110,p000109.jpg,1728324045,85244.6302,446958.0317,1.4828,129.074,-2.8955,-4.1987,0,1,0,C0;0;0;0;0;0,0.1
111,p000110.jpg,1728324046,85243.92331,446957.1095,1.4993,129.6209,-1.6306,-5.1662,0,1,0,C0;0;0;0;0;0,0.1
112,p000111.jpg,1728324047,85243.20969,446956.2416,1.453,130.3382,1.2949,-5.5104,0,1,0,C0;0;0;0;0;0,0.1
113,p000112.jpg,1728324048,85242.54173,446955.3848,1.4393,131.7721,2.6308,-3.484,0,1,0,C0;0;0;0;0;0,0.1
114,p000113.jpg,1728324049,85241.87125,446954.4802,1.4307,133.8613,3.0163,-6.8425,0,1,0,C0;0;0;0;0;0,0.1
115,p000114.jpg,1728324050,85241.15878,446953.5392,1.437,133.587,-1.4615,-4.7939,0,1,0,C0;0;0;0;0;0,0.1
116,p000115.jpg,1728324051,85240.41103,446952.6528,1.4365,134.0619,0.7354,-4.2905,0,1,0,C0;0;0;0;0;0,0.1
117,p000116.jpg,1728324052,85239.55382,446951.7228,1.4216,133.4252,0.9012,-4.7479,0,1,0,C0;0;0;0;0;0,0.1
118,p000117.jpg,1728324053,85238.81224,446950.7478,1.4392,130.4159,-1.8849,-2.679,0,1,0,C0;0;0;0;0;0,0.1
119,p000118.jpg,1728324054,85238.03857,446949.7491,1.4449,128.5035,-1.6997,-6.6901,0,1,0,C0;0;0;0;0;0,0.1
120,p000119.jpg,1728324055,85237.34966,446948.7011,1.4634,123.2061,-3.3377,-4.9465,0,1,0,C0;0;0;0;0;0,0.1
121,p000120.jpg,1728324056,85236.5177,446947.6371,1.4456,127.1388,-1.2602,-6.1765,0,1,0,C0;0;0;0;0;0,0.1
122,p000121.jpg,1728324057,85235.62743,446946.5876,1.418,127.1473,-1.7645,-4.4771,0,1,0,C0;0;0;0;0;0,0.1
123,p000122.jpg,1728324058,85234.84866,446945.5765,1.4208,128.615,-0.4063,-4.6313,0,1,0,C0;0;0;0;0;0,0.1
124,p000123.jpg,1728324059,85233.95117,446944.5485,1.4372,131.7341,1.0858,-5.8614,0,1,0,C0;0;0;0;0;0,0.1
125,p000124.jpg,1728324060,85233.11282,446943.5728,1.4379,131.0397,0.4619,-8.1232,0,1,0,C0;0;0;0;0;0,0.1
126,p000125.jpg,1728324061,85232.28845,446942.5136,1.4545,128.8307,-0.09,-8.1531,0,1,0,C0;0;0;0;0;0,0.1
127,p000126.jpg,1728324062,85231.42003,446941.4268,1.4515,128.2607,0.6363,-6.2325,0,1,0,C0;0;0;0;0;0,0.1
128,p000127.jpg,1728324063,85230.59053,446940.4251,1.4569,129.3713,-1.0637,-3.3764,0,1,0,C0;0;0;0;0;0,0.1
129,p000128.jpg,1728324064,85229.71622,446939.4026,1.4384,129.3781,-0.3762,-6.7185,0,1,0,C0;0;0;0;0;0,0.1
130,p000129.jpg,1728324065,85228.92232,446938.3041,1.435,126.3003,-2.3773,-5.8171,0,1,0,C0;0;0;0;0;0,0.1
131,p000130.jpg,1728324066,85228.12685,446937.3243,1.4505,129.0735,-2.7557,-7.1839,0,1,0,C0;0;0;0;0;0,0.1
132,p000131.jpg,1728324067,85227.15271,446936.7166,1.4463,158.205,-0.1877,-7.5594,0,1,0,C0;0;0;0;0;0,0.1
133,p000132.jpg,1728324068,85226.21426,446936.8822,1.4258,-154.5979,-1.4797,-5.7191,0,1,0,C0;0;0;0;0;0,0.1
134,p000133.jpg,1728324069,85225.75372,446937.2971,1.4174,-119.5863,0.216,-11.105,0,1,0,C0;0;0;0;0;0,0.1
135,p000134.jpg,1728324070,85225.38939,446937.5147,1.4019,-121.4812,-1.422,-12.748,0,1,0,C0;0;0;0;0;0,0.1
136,p000135.jpg,1728324071,85224.98955,446937.9108,1.4234,-128.0277,-2.0487,-9.5696,0,1,0,C0;0;0;0;0;0,0.1
137,p000136.jpg,1728324072,85224.76041,446938.2959,1.4385,-138.474,-4.2973,-9.6541,0,1,0,C0;0;0;0;0;0,0.1
138,p000137.jpg,1728324073,85224.56248,446938.1884,1.4623,-177.4793,-3.6204,-8.1218,0,1,0,C0;0;0;0;0;0,0.1
139,p000138.jpg,1728324074,85224.27214,446938.0212,1.4355,-178.6005,-0.7588,-10.7493,0,1,0,C0;0;0;0;0;0,0.1
140,p000139.jpg,1728324075,85223.67392,446938.3741,1.4678,-147.3614,0.9535,-4.7706,0,1,0,C0;0;0;0;0;0,0.1
141,p000140.jpg,1728324076,85223.16698,446939.0108,1.4817,-128.1831,-1.8077,-5.5078,0,1,0,C0;0;0;0;0;0,0.1
142,p000141.jpg,1728324077,85223.08379,446939.7875,1.4757,-85.6775,-1.2902,-4.2385,0,1,0,C0;0;0;0;0;0,0.1
143,p000142.jpg,1728324078,85223.44753,446940.5275,1.4527,-47.8353,-0.4131,-5.8451,0,1,0,C0;0;0;0;0;0,0.1
144,p000143.jpg,1728324079,85224.13197,446941.3514,1.472,-44.9774,0.6891,-7.0591,0,1,0,C0;0;0;0;0;0,0.1
145,p000144.jpg,1728324080,85224.86548,446942.1976,1.4864,-44.005,-0.4069,-4.6245,0,1,0,C0;0;0;0;0;0,0.1
146,p000145.jpg,1728324081,85225.59959,446943.0782,1.5033,-44.8488,1.019,-4.833,0,1,0,C0;0;0;0;0;0,0.1
147,p000146.jpg,1728324082,85226.30377,446943.9749,1.4817,-46.8965,0.7106,-3.2939,0,1,0,C0;0;0;0;0;0,0.1
148,p000147.jpg,1728324083,85226.97041,446944.844,1.489,-48.5307,-1.852,-2.9964,0,1,0,C0;0;0;0;0;0,0.1
149,p000148.jpg,1728324084,85227.58347,446945.6957,1.5053,-48.0618,-4.588,-2.685,0,1,0,C0;0;0;0;0;0,0.1
150,p000149.jpg,1728324085,85228.19122,446945.9609,1.5067,9.84,1.0613,1.758,0,1,0,C0;0;0;0;0;0,0.1
151,p000150.jpg,1728324086,85227.80502,446945.7957,1.4626,124.2083,-0.9609,-6.7199,0,1,0,C0;0;0;0;0;0,0.1
152,p000151.jpg,1728324087,85227.3472,446945.2518,1.468,133.9049,0.0294,-7.0784,0,1,0,C0;0;0;0;0;0,0.1
153,p000152.jpg,1728324088,85226.67995,446944.4417,1.4565,134.9346,-1.5848,-5.652,0,1,0,C0;0;0;0;0;0,0.1
154,p000153.jpg,1728324089,85225.87494,446943.6053,1.4631,136.6004,-0.9936,-4.7831,0,1,0,C0;0;0;0;0;0,0.1
155,p000154.jpg,1728324090,85225.16283,446942.7753,1.4737,133.9167,-2.1098,-5.13,0,1,0,C0;0;0;0;0;0,0.1
156,p000155.jpg,1728324091,85224.41827,446941.9459,1.4978,135.873,-1.1634,-5.5881,0,1,0,C0;0;0;0;0;0,0.1
157,p000156.jpg,1728324092,85223.64656,446941.0431,1.4808,132.7643,0.655,-5.9967,0,1,0,C0;0;0;0;0;0,0.1
158,p000157.jpg,1728324093,85223.12521,446940.1398,1.4776,118.3704,-3.1276,-4.1317,0,1,0,C0;0;0;0;0;0,0.1
159,p000158.jpg,1728324094,85223.21298,446939.2174,1.4598,77.6132,-3.3283,-7.5289,0,1,0,C0;0;0;0;0;0,0.1
160,p000159.jpg,1728324095,85223.88441,446938.5366,1.4805,49.9581,1.2389,-6.721,0,1,0,C0;0;0;0;0;0,0.1
161,p000160.jpg,1728324096,85224.65778,446937.9506,1.477,51.2235,0.1542,-7.5502,0,1,0,C0;0;0;0;0;0,0.1
162,p000161.jpg,1728324097,85225.04126,446937.7236,1.4822,61.0841,0.8751,-6.3111,0,1,0,C0;0;0;0;0;0,0.1
163,p000162.jpg,1728324098,85224.79083,446938.0175,1.4861,54.7504,-1.6861,-7.1838,0,1,0,C0;0;0;0;0;0,0.1
164,p000163.jpg,1728324099,85225.26575,446937.5656,1.4837,59.7377,3.3709,-10.009,0,1,0,C0;0;0;0;0;0,0.1
165,p000164.jpg,1728324100,85225.92603,446936.8792,1.4942,44.0931,-0.5552,-4.2339,0,1,0,C0;0;0;0;0;0,0.1
166,p000165.jpg,1728324101,85226.32413,446936.2078,1.5019,68.9734,-4.2278,-3.6966,0,1,0,C0;0;0;0;0;0,0.1
167,p000166.jpg,1728324102,85225.92249,446935.5646,1.5012,116.9224,-4.2868,-5.5446,0,1,0,C0;0;0;0;0;0,0.1
168,p000167.jpg,1728324103,85225.25247,446934.7661,1.4848,131.3513,-2.7463,-6.3056,0,1,0,C0;0;0;0;0;0,0.1
169,p000168.jpg,1728324104,85224.67973,446933.9953,1.4812,130.7449,-1.2546,-6.7535,0,1,0,C0;0;0;0;0;0,0.1
170,p000169.jpg,1728324105,85224.02402,446933.1172,1.486,130.1462,-1.8443,-6.5566,0,1,0,C0;0;0;0;0;0,0.1
171,p000170.jpg,1728324106,85223.2493,446932.1962,1.4971,134.7752,-0.4662,-6.1989,0,1,0,C0;0;0;0;0;0,0.1
172,p000171.jpg,1728324107,85222.55002,446931.3101,1.4569,132.5519,1.307,-5.4353,0,1,0,C0;0;0;0;0;0,0.1
173,p000172.jpg,1728324108,85221.86771,446930.4313,1.4866,128.0211,-5.6201,-4.3029,0,1,0,C0;0;0;0;0;0,0.1
174,p000173.jpg,1728324109,85221.12491,446929.4987,1.5053,127.9676,-3.8689,-5.2837,0,1,0,C0;0;0;0;0;0,0.1
175,p000174.jpg,1728324110,85220.38979,446928.6741,1.5051,127.3705,-5.0054,-3.2447,0,1,0,C0;0;0;0;0;0,0.1
176,p000175.jpg,1728324111,85219.69516,446927.9124,1.4983,132.3434,-2.4173,-2.8134,0,1,0,C0;0;0;0;0;0,0.1
177,p000176.jpg,1728324112,85219.1058,446927.2136,1.4911,140.964,-0.1608,-3.9742,0,1,0,C0;0;0;0;0;0,0.1
178,p000177.jpg,1728324113,85218.52731,446927.1808,1.4778,-152.063,-0.7206,-5.612,0,1,0,C0;0;0;0;0;0,0.1
